video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=4VIy3zV-7sA&pp=ygUMQ2FwaXRvbCBIaWxs,/@trtworld,TRT World,The Capitol Hill Show | Episode 4: Robert F. Kennedy,26K,1 day,"From climate change to the war in Ukraine, from the economy to the very fate of democracy, 2024 looks set to be a defining year in ...",2024-01-29 03:37:25.069131
/watch?v=qvgq1awXNzs&pp=ygUMQ2FwaXRvbCBIaWxs,/@uscapitol,Architect of the Capitol,Virtual U.S. Capitol Tour,474K,3 years,"Until you can visit us in person, take this virtual tour featuring some of our favorite aspects of the U.S. Capitol. Tour stops include: ...",2024-01-29 03:37:25.075820
/watch?v=lfP_5L8epow&pp=ygUMQ2FwaXRvbCBIaWxs,/@VICENews,VICE News,Inside the Capitol Hill Riots,2.6M,3 years,This is what it was like to be inside the Capitol Hill insurrection. Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News ...,2024-01-29 03:37:34.118845
/watch?v=ehMxSQhUOLE&pp=ygUMQ2FwaXRvbCBIaWxs,/@TripHacksDC,Trip Hacks DC,"What to See, Do and Eat in Capitol Hill | Washington DC Neighborhood Guide",12K,1 year,"This is your guide to what you can see, do and eat in Capitol Hill when you visit Washington, DC. Capitol Hill is a historic ...",2024-01-29 03:37:34.130462
/watch?v=Os1djKfl7ZU&pp=ygUMQ2FwaXRvbCBIaWxs,/@uscapitol,Architect of the Capitol,A Visual Timeline 220 Years of Growth on Capitol Hill,940K,10 years,"Construction of the U.S. Capitol Building began in 1793 atop Jenkins' Hill, now often referred to as ""Capitol Hill."" Since then many ...",2024-01-29 03:37:34.150738
/watch?v=tmwkpW5wXo8&pp=ygUMQ2FwaXRvbCBIaWxs,/@JamesShiang,James Shiang,A Day in the Life of a Capitol Hill Intern | Washington DC,3.6K,11 months,this is a Day in the Life of a Capitol Hill Intern. :) any and all thoughts are of my own opinion and do not reflect the US House of ...,2024-01-29 03:37:34.155611
/watch?v=FoP9ufM3bjw&pp=ygUMQ2FwaXRvbCBIaWxs,/@SecondThought,Second Thought,The Capitol Riot Explained,999K,3 years,"In this episode, I do my best to explain the Capitol Hill riot, who was responsible, why it happened, and what it means for the ...",2024-01-29 03:37:34.167262
/watch?v=WaEis4n0x7Q&pp=ygUMQ2FwaXRvbCBIaWxs,/@ABCNews,ABC News,Hunter Biden makes surprise appearance on Capitol Hill amid contempt hearing,33K,2 weeks,Hunter Biden arrived on Capitol Hill to attend a House committee meeting on whether to hold him in contempt of Congress.,2024-01-29 03:37:34.169818
/watch?v=cGwJWiqTDKM&pp=ygUMQ2FwaXRvbCBIaWxs,/@CBSNews,CBS News,Fighting words escalate on Capitol Hill,32K,2 months,"Two fiery exchanges on Capitol Hill Tuesday are exposing frayed nerves among lawmakers in Washington D.C. Claudia Grisales, ...",2024-01-29 03:37:34.183686
/watch?v=x6tNHxnQTak&pp=ygUMQ2FwaXRvbCBIaWxs,/@msnbc,MSNBC,Hunter Biden appears on Capitol Hill during contempt of Congress hearings,156K,2 weeks,Hunter Biden made a surprise appearance on Capitol Hill while the House Oversight Committee and the House Judiciary ...,2024-01-29 03:37:34.186715
/watch?v=jXAv2cDkWAA&pp=ygUMQ2FwaXRvbCBIaWxs,/@CNBC,CNBC,The Capitol Riots: An Hour-By-Hour Timeline,1.1M,3 years,"Supporters of President Trump stormed the U.S. Capitol on Jan. 6, 2020, causing Congress to suspend proceedings to confirm the ...",2024-01-29 03:37:34.197090
/watch?v=7QjvVfeR9r8&pp=ygUMQ2FwaXRvbCBIaWxs,/@FoxNews,Fox News,Jewish demonstrators protest on Capitol Hill,63K,3 months,FOX News senior congressional correspondent Chad Pergram has the latest on protests over the Israel-Hamas war on 'The Story.,2024-01-29 03:37:34.203838
/watch?v=auplZzhrmaY&pp=ygUMQ2FwaXRvbCBIaWxs,/@fox5dc,FOX 5 Washington DC,Pro-Palestinian protesters gather inside Cannon Rotunda at Capitol Hill,7.1K,3 months,A large group of pro-Palestinian protesters demonstrate inside the Cannon Rotunda. FOX 5's DMV Zone takes you behind the ...,2024-01-29 03:37:34.206331
/watch?v=li6xRvkR1bU&pp=ygUMQ2FwaXRvbCBIaWxs,/@Foxla,FOX 11 Los Angeles,U.S. Senate rocked by sex tape scandal,2.2M,1 month,Capitol Hill is at the center of a sex scandal after a tape involving a Senate staffer got leaked. Subscribe to FOX 11 on YouTube: ...,2024-01-29 03:37:34.217187
/watch?v=umj74EPlOW0&pp=ygUMQ2FwaXRvbCBIaWxs,/@WETAPBS,WETA PBS,Capitol Hill | DC Neighborhoods,1.1K,1 year,Journalist Jesse J. Holland explains how Capitol Hill transformed as Black Washingtonians went from renting to owning homes ...,2024-01-29 03:37:34.223633
/watch?v=6MMe92v5sSA&pp=ygUMQ2FwaXRvbCBIaWxs,/@markets,Bloomberg Television,Wall Street Bank CEOs on Capitol Hill,28K,Streamed 1 month,"The CEOs of some of the biggest US banks -- including Jamie Dimon of JPMorgan, Brian Moynihan of Bank of America and Jane ...",2024-01-29 03:37:34.235178
/watch?v=00N2to4aCBM&pp=ygUMQ2FwaXRvbCBIaWxs,/@fox5dc,FOX 5 Washington DC,Multiple arrested at pro-Palestinian protests on Capitol Hill,222K,3 months,Jewish Voice for Peace member Malkah Bird says protestors at the Capitol are calling for an immediate ceasefire in Gaza.,2024-01-29 03:37:34.241188
/watch?v=l83CjFLZFrc&pp=ygUMQ2FwaXRvbCBIaWxs,/@FreeToursbyFootDC,Free Tours by Foot DC,Capitol Hill Tour (& Library of Congress + Supreme Court) in HD,19K,2 years,"On this Virtual Capitol Hill Tour, you'll find the Library of Congress, Supreme Court and of course, the United States Capitol ...",2024-01-29 03:37:34.250131
/watch?v=upt6YhXGb-U&pp=ygUMQ2FwaXRvbCBIaWxs,/@NBCNews,NBC News,"Presidents of MIT, UPenn and Harvard testify on Capitol Hill over rise in antisemitism on campuses",42K,1 month,"The presidents of MIT, UPenn and Harvard testified on Capitol Hill today about how to protect free speech and student safety ...",2024-01-29 03:37:34.260067
/watch?v=CPJH4R0NfPk&pp=ygUMQ2FwaXRvbCBIaWxs,/@msnbc,MSNBC,Donald Trump's hold on GOP from campaign trail to Capitol Hill,55K,5 hours,"Molly Jong-Fast, Michael Steele, and Luke Broadwater join Jonathan Capehart to discuss Donald Trump's efforts to derail the ...",2024-01-29 03:37:41.729022
/watch?v=JbkHVrlG1mk&pp=ygUMQ2FwaXRvbCBIaWxs,/@WPLGLocal10,WPLG Local 10,National Guard takes over Capitol Hill in D.C.,137K,3 years,"HILL. >> NICOLE, I WANT TO SHOW YOU THIS RIGHT NOW. >> NICOLE, I WANT TO SHOW YOU THIS RIGHT NOW.",2024-01-29 03:37:41.735202
/watch?v=tE3LmUtK7HA&pp=ygUMQ2FwaXRvbCBIaWxs,/@MannyExploresVlog,Manny Explores,"Exploring Seattle - Exploring Capitol Hill | Seattle, Washington",9.1K,1 year,"Exploring Seattle, Capitol Hill, Exploring Capitol Hill, Seattle Walking Tour, Walking Seattle, Washington In this video I explore ...",2024-01-29 03:37:41.737230
/watch?v=RuAgHzuI3GM&pp=ygUMQ2FwaXRvbCBIaWxs,/@ABCNews,ABC News,University presidents under pressure after antisemitism testimony on Capitol Hill,51K,1 month,University of Pennsylvania President Lizz Magill walked back comments she made during a contentious House hearing about ...,2024-01-29 03:37:41.738597
/watch?v=UXR_bqyAy4E&pp=ygUMQ2FwaXRvbCBIaWxs,/@BBCNews,BBC News,Chaos in Washington as Trump supporters storm Capitol and force lockdown of Congress - BBC News,8M,3 years,"Thousands of supporters of President Trump have stormed the US Capitol building, venting their anger at the victory of Joe Biden ...",2024-01-29 03:37:41.740090
/watch?v=W6TiXg3qMkY&pp=ygUMQ2FwaXRvbCBIaWxs,/@CBSNews,CBS News,"Protesters on Capitol Hill call for Israel-Hamas cease-fire, hundreds arrested",45K,3 months,The Capitol Police says roughly 300 people were arrested during a pro-Palestinian protest at the Cannon House building in ...,2024-01-29 03:37:41.741849
/watch?v=6Cuxv8c0b9Q&pp=ygUMQ2FwaXRvbCBIaWxs,/@msnbc,MSNBC,Protesters on Capitol Hill call for Gaza ceasefire,194K,3 months,NBC News' Julie Tsirkin reports from Capitol Hill where protesters are staging a demonstration to call for a ceasefire in Gaza.,2024-01-29 03:37:41.745372
/watch?v=LnH2sU0OA5w&pp=ygUMQ2FwaXRvbCBIaWxs,/@FoxBusiness,Fox Business,'EMBARRASSING': Bartiromo reacts to chaotic day on Capitol Hill,69K,2 months,A 'Mornings with Maria' panel discusses tensions flaring between lawmakers on Capitol Hill. #foxbusiness Subscribe to Fox ...,2024-01-29 03:37:41.747176
/watch?v=00X6WIb6gJY&pp=ygUMQ2FwaXRvbCBIaWxs,/@welcometodenver,Welcome To Denver CO,Virtual tour of Capitol Hill Denver - One of the Best Neighborhoods in Denver!,4.7K,2 years,Virtual tour of Capitol Hill Denver - One of the Best Neighborhoods in Denver! Today we're looking at the Capitol Hill ...,2024-01-29 03:37:41.748641
