video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=wlp_6L07rvU&pp=ygUMQ2FwaXRvbCBIaWxs,/@jonathancahn.official,Jonathan Cahn Official,JONATHAN CAHN SPEAKS TO CAPITOL HILL,28K,10 years,"To get in touch, to receive more, including Free Gifts and Updates, or to be part in the Great Commission, go to: ...",2024-01-29 03:37:41.750522
/watch?v=OpkdbMOrono&pp=ygUMQ2FwaXRvbCBIaWxs,/@CBCTheNational,CBC News: The National,What’s been learned about the Capitol Hill riot and why it could happen again,14K,2 years,"A year after rioters stormed Capitol Hill, official and unofficial investigations reveal more about who was involved in the attack and ...",2024-01-29 03:37:41.751947
/watch?v=gWMqne9BXxA&pp=ygUMQ2FwaXRvbCBIaWxs,/@jonathancahn.official,Jonathan Cahn Official,"Jonathan Cahn Calls Out Obama, Supreme Court Justices on Capitol Hill",111K,7 years,"Where do you get the authority to overrule the rulings of the Most High?” 4-27-16 To get in touch, to receive more, including Free ...",2024-01-29 03:37:41.753544
/watch?v=EIJRgAcBv3k&pp=ygUMQ2FwaXRvbCBIaWxs,/@ABCNews,ABC News,Capitol Hill lawmakers struggle over bipartisan tax deal,3.9K,3 days,ABC News political correspondent Rachael Bade breaks down the struggle lawmakers on Capitol Hill are facing to come to an ...,2024-01-29 03:37:41.754931
/watch?v=1ctaakF11Js&pp=ygUMQ2FwaXRvbCBIaWxs,/@CNBCtelevision,CNBC Television,AI gets red carpet on Capitol Hill as tech leaders gear up for forum,1.8K,4 months,Turn to CNBC TV for the latest stock market news and analysis. From market futures to live price updates CNBC is the leader in ...,2024-01-29 03:37:41.756245
/watch?v=-a067wX4Ddw&pp=ygUMQ2FwaXRvbCBIaWxs,/@CBNnewsonline,CBN News,"Harvard, UPenn, MIT Presidents Testify on Capitol Hill About Antisemitism on Campus",13K,1 month,WASHINGTON -- Antisemitism is on the rise in the U.S. and around the world following the Hamas Oct. 7 terror attack on Israel.,2024-01-29 03:37:41.757750
/watch?v=LKzK8iIBngA&pp=ygUMQ2FwaXRvbCBIaWxs,/@AUAdmissions,American University Admissions,Intern Spotlight: Harrison on Capitol Hill,1K,4 years,Interning for Rep. Sean Patrick Maloney on Capitol Hill provided the uniquely DC experience Harrison wanted as an AU student.,2024-01-29 03:37:41.759044
/watch?v=LReGtBtyYNg&pp=ygUMQ2FwaXRvbCBIaWxs,/@CoffeeWithColeman,Coffee With Coleman,Best Neighborhoods in DC 🏆 - Life on Capitol Hill 🇺🇸,12K,2 years,"If you've thought about moving to Capitol Hill in Washington, DC then this video can help you know what life is really like.",2024-01-29 03:37:41.760272
/watch?v=xsIGcvRv82M&pp=ygUMQ2FwaXRvbCBIaWxs,/@FoxNews,Fox News,Hearing erupts after Hunter Biden's surprise appearance on Capitol Hill,243K,Streamed 2 weeks,Hunter Biden makes a surprise appearance on Capitol Hill before the House Oversight Committee. #FoxNews Subscribe to Fox ...,2024-01-29 03:37:41.761620
/watch?v=UF9wBE684ms&pp=ygUMQ2FwaXRvbCBIaWxs,/@KING5Seattle,KING 5 Seattle,Armed suspect in custody after dispute in Seattle's Capitol Hill neighborhood,7.7K,6 months,Seattle police responded to a hostage situation in the Capitol Hill neighborhood Wednesday evening. The incident happened ...,2024-01-29 03:37:52.607440
/watch?v=aBAPeWyLplk&pp=ygUMQ2FwaXRvbCBIaWxs,/@nellisgroup,nellisgroup,Washington D.C. Home Tour in Capitol Hill,13K,2 years,This beautiful home in Capitol Hill features 3 bedrooms and 2.5 bathrooms with over 1604 square feet. With more than $90000 in ...,2024-01-29 03:37:52.609425
/watch?v=-QjK_Jy4pns&pp=ygUMQ2FwaXRvbCBIaWxs,/@GCC_CapHill,Grace Covenant Church Capitol Hill,Capitol Hill Sunday Service,104,Streamed 2 weeks,Capitol Hill Sunday Service.,2024-01-29 03:37:52.610675
/watch?v=JUDSeb2zHQ0&pp=ygUMQ2FwaXRvbCBIaWxs,/@SaturdayNightLive,Saturday Night Live,How a Bill Does Not Become a Law - SNL,8.8M,9 years,"A Bill (Kenan Thompson) tries to explain government to a little kid (Kyle Mooney), then President Obama (Jay Pharaoh) and his ...",2024-01-29 03:37:52.611982
/watch?v=_2U8gEvfNRw&pp=ygUMQ2FwaXRvbCBIaWxs,/@NewsNation,NewsNation,Protesters on Capitol Hill call for ceasefire in Israel-Hamas war | NewsNation Now,5K,3 months,Anti-Zionist group Jewish Voice for Peace came to the Cannon House Rotunda in the U.S. Capitol complex Wednesday to ...,2024-01-29 03:37:52.613822
/watch?v=dOWD2hYlaio&pp=ygUMQ2FwaXRvbCBIaWxs,/@CoffeeWithColeman,Coffee With Coleman,"Learn About the Capitol Hill Neighborhood in Washington, DC",1.5K,4 years,We created this video to highlight some of the history of Capitol Hill and why people love to live here. If you ever have any ...,2024-01-29 03:37:52.615067
/watch?v=usFWQvBh7gI&pp=ygUMQ2FwaXRvbCBIaWxs,/@CNET,CNET,Zuck gets blasted on Capitol Hill,153K,5 years,Facebook CEO Mark Zuckerberg gets earful from US Senators on user privacy. Subscribe to CNET: http://cnet.co/2heRhep Check ...,2024-01-29 03:37:52.616302
/watch?v=mC9gJkoTlqw&pp=ygUMQ2FwaXRvbCBIaWxs,/@swangxswang,Sarah Wang,"TOURING SEATTLE APARTMENTS | 2 Bedrooms in Capitol Hill, Downtown, and South Lake Union",55K,1 year,Description: Touring Seattle Apartments! Come tour apartments in Seattle with me! Links: N/A ✨ Social Media: Instagram: ...,2024-01-29 03:37:52.618054
/watch?v=ZUcrJvfRt80&pp=ygUMQ2FwaXRvbCBIaWxs,/@CityandCountyDenver,The City of Denver,Denver History Minute - Capitol Hill Neighborhood,7K,10 years,The development f Denver's historic Capitol Hill Neighborhood.,2024-01-29 03:37:52.619285
/watch?v=HUodllJh_SI&pp=ygUMQ2FwaXRvbCBIaWxs,/@NBCNews,NBC News,‘Turmoil’ on Capitol Hill after short-term funding bill fails in the House.,90K,3 months,A stop-gap funding bill failed in the House as the shutdown deadline looms. NBC News Capitol Hill Correspondent Ryan Nobles ...,2024-01-29 03:37:52.620589
/watch?v=HGQfTmytPtg&pp=ygUMQ2FwaXRvbCBIaWxs,/@KOCO,KOCO 5 News,5 arrested in connection with Capitol Hill High School fight,3.9K,8 years,Parents at Capitol Hill High School rushed to pick up their kids once the school announced there were concerns about several ...,2024-01-29 03:37:52.622164
/watch?v=D5h4vOMdmqo&pp=ygUMQ2FwaXRvbCBIaWxs,/@FoxNews,Fox News,Country star Jelly Roll testifies on Capitol Hill,96K,Streamed 2 weeks,"Country rapper Jelly Roll testifies during a Senate Banking, Housing and Urban Affairs Committee hearing on the fentanyl crisis.",2024-01-29 03:37:52.623471
/watch?v=1cMTogEyLS8&pp=ygUMQ2FwaXRvbCBIaWxs,/@CNBC-TV18,CNBC-TV18,Hunter Biden Appears On Capitol Hill As House G.O.P Votes For Contempt | Hunter Biden Hearing LIVE,193K,Streamed 5 days,Hunter Biden Hearing LIVE | Hunter Biden Appears On Capitol Hill As House G.O.P Votes For Contempt | CNBC TV18 The ...,2024-01-29 03:37:52.624799
/watch?v=MV6DJj_ggsc&pp=ygUMQ2FwaXRvbCBIaWxs,/@YahooFinance,Yahoo Finance,Boeing CEO addresses 737 safety concerns on Capitol Hill,1.8K,4 days,Shares of Spirit AeroSystems (SPR) rise 6% following a Seattle Times report suggesting the company is not responsible for a ...,2024-01-29 03:37:52.626097
/watch?v=Y31YAx1zTjg&pp=ygUMQ2FwaXRvbCBIaWxs,/@ABCNews,ABC News,Protesters on Capitol Hill call for Gaza ceasefire,756K,3 months,U.S. Capitol Police say demonstrations are not allowed inside Congressional buildings and are working to clear the crowd as ...,2024-01-29 03:37:52.627395
/watch?v=VKqhhSBKi-E&pp=ygUMQ2FwaXRvbCBIaWxs,/@StateDept,U.S. Department of State,Secretary Blinken testifies before the Senate Committee on Appropriations on Capitol Hill,2.9K,2 months,Secretary of State Antony J. Blinken testifies before the Senate Committee on Appropriations on “A Review of the National ...,2024-01-29 03:37:52.629121
/watch?v=FkdyuXVzy3o&pp=ygUMQ2FwaXRvbCBIaWxs,/@FoxNews,Fox News,Live: FBI Director Christopher Wray faces grilling on Capitol Hill,65K,Streamed 1 month,Senate Judiciary Committee conducts oversight of the Federal Bureau of Investigation. #FoxNews Subscribe to Fox News!,2024-01-29 03:37:52.630621
/watch?v=dKuiIfAetLw&pp=ygUMQ2FwaXRvbCBIaWxs,/@seattleuniversity,Seattle University,Beyond Seattle U   Capitol Hill,5.3K,5 years,"""Capitol Hill is right off Seattle University's campus. It is the main arts district in Seattle. You see a lot of really awesome street art, ...",2024-01-29 03:38:04.052817
/watch?v=cusol8IRXTE&pp=ygUMQ2FwaXRvbCBIaWxs,/@GCC_CapHill,Grace Covenant Church Capitol Hill,Capitol Hill Sunday Service,115,Streamed 2 months,Capitol Hill Sunday Service.,2024-01-29 03:38:04.055251
/watch?v=TK68ffBF9IM&pp=ygUMQ2FwaXRvbCBIaWxs,/@TODAY,TODAY,Inside The ‘Autonomous Zone’ In Seattle’s Capitol Hill | TODAY,279K,3 years,"About: TODAY brings you the latest headlines and expert tips on money, health and parenting. We wake up every morning to give ...",2024-01-29 03:38:04.061032
/watch?v=L8L6h-RJ44Q&pp=ygUMQ2FwaXRvbCBIaWxs,/@UrbanistExploringCities,Urbanist: Exploring Cities,Exploring Seattle's Capitol Hill and its Best Food,7.3K,Streamed 1 year,**MY GEAR (affiliate links)** Live Streams: iPhone 11 Pro Max: https://amzn.to/3h97nRD DJI OSMO Mobile 4 (gimbal): ...,2024-01-29 03:38:04.066739
/watch?v=1p00ASxejlE&pp=ygUMQ2FwaXRvbCBIaWxs,/channel/UCBVskSp1AgQ0ZJoe6e8xi5w,Derek Webb,Derek Webb- A Savior On Capitol Hill Video,71K,15 years,"Video for Derek's song ""A Savior On Capitol Hill"" Derek's NEW ALBUM OUT NOW https://on.cmdshft.com/TARGETS Facebook: ...",2024-01-29 03:38:04.069903
/watch?v=htybkuZ_7mU&pp=ygUMQ2FwaXRvbCBIaWxs,/@LivinginSeattleWashington,Living in Seattle Washington,Living in Capitol Hill Seattle [Full Vlog Tour],6.4K,4 years,This is the BEST video about Living in Capitol Hill Seattle and Tour of Seattle Neighborhoods! Such a great neighborhood in ...,2024-01-29 03:38:04.073368
/watch?v=r2MnFaipUTY&pp=ygUMQ2FwaXRvbCBIaWxs,/@NBCNews,NBC News,FBI employee carjacked near Capitol Hill,6K,1 month,The FBI says an employee's car was recovered shortly after an armed carjacking near Capitol Hill. WRC's Joseph Olmo reports.,2024-01-29 03:38:04.076919
/watch?v=EuFwEz_FiYA&pp=ygUMQ2FwaXRvbCBIaWxs,/@FoxNews,Fox News,Pro-Palestinian protesters arrested during Capitol Hill tree lighting,47K,1 month,FOX News' Brooke Singman reports the latest. #FOXNews Subscribe to Fox News! https://bit.ly/2vBUvAS Watch more Fox News ...,2024-01-29 03:38:04.083165
/watch?v=Z_TYWVJEYHA&pp=ygUMQ2FwaXRvbCBIaWxs,/@Jdcot,JD Careers Out There,Capitol Hill Jobs For Lawyers,1.6K,10 years,"Whether you're in law school or wondering what to do with a law degree, check out the full interview with David at JDCOT. He tells ...",2024-01-29 03:38:04.087667
/watch?v=Bc3dW_jrKTg&pp=ygUMQ2FwaXRvbCBIaWxs,/@ABCNews,ABC News,Pressure on Capitol Hill for police reform,2.9K,2 years,Republican Sen. Tim Scott told ABC News that “we're starting to see a framework” for police reform. President Joe Biden spoke to ...,2024-01-29 03:38:04.090768
/watch?v=nt7XMQpFSW0&pp=ygUMQ2FwaXRvbCBIaWxs,/@thearcoftheus,The Arc of the United States,"Real Stories, Real Impact: Advocates on Capitol Hill",2.9K,4 years,Hear from disability rights advocates who met with their Congressional representatives on Capitol Hill. Learn why they attended ...,2024-01-29 03:38:04.095943
/watch?v=oPWqOAtD_lE&pp=ygUMQ2FwaXRvbCBIaWxs,/@dmvluxuryliving,DMV Luxury Living,"MUST SEE! - Capitol Hill NE Washington, DC - Luxury Renovated Home Tour - Million Dollar Listing",17K,1 year,"MUST SEE! - Capitol Hill NE Washington, DC - Stunning Luxury Renovated Home Tour - Million Dollar Listing - Capitol Hill DC ...",2024-01-29 03:38:04.099332
/watch?v=IOGXkMmtl6I&pp=ygUMQ2FwaXRvbCBIaWxs,/@msnbc,MSNBC,"Rioters Walk Through Capitol Building, Statuary Hall Outside of House Chamber | MSNBC",230K,3 years,"MSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives.",2024-01-29 03:38:04.103817
/shorts/S04VVowhaSo,/@WCNC,WCNC,The funding battle continues on Capitol Hill,2.8K,2 days,Senate negotiators will work through the weekend to come to an agreement on tightening border security. Former President ...,2024-01-29 03:38:04.107105
/watch?v=dhvPKTiV7to&pp=ygUMQ2FwaXRvbCBIaWxs,/@CBSEveningNews,CBS Evening News,Boeing faces quality control questions as its CEO appears on Capitol Hill,3.3K,4 days,"Boeing CEO Dave Calhoun was on Capitol Hill Wednesday, attempting to reassure key senators that the company's planes are ...",2024-01-29 03:38:04.111892
/watch?v=PBBpY_jsfN4&pp=ygUMQ2FwaXRvbCBIaWxs,/@sfnvideo,Society for Neuroscience,Capitol Hill Day: Influencing Policy Through Advocacy,465,7 years,SfN's 2016 Capitol Hill Day was the hallmark advocacy event of the year. Members from across the country convened at Capitol ...,2024-01-29 03:38:04.115028
/watch?v=ibWJO02nNsY&pp=ygUMQ2FwaXRvbCBIaWxs,/@WashingtonPost,Washington Post,Inside the U.S. Capitol at the height of the siege | Visual Forensics,4.9M,3 years,"At 2:12 p.m. on Jan. 6, supporters of President Trump began climbing through a window they had smashed on the northwest side ...",2024-01-29 03:38:04.120974
/watch?v=WZni1VBVD-k&pp=ygUMQ2FwaXRvbCBIaWxs,/@komonews,KOMO News,"3 years since CHOP: Seattle's Capitol Hill still bears the scars of 2020 protests, occupation",18K,6 months,"Three years ago this week, the Capitol Hill Organized Protest, also known as CHOP, was dismantled. Yet, the scars in this ...",2024-01-29 03:38:04.125957
/watch?v=SlzoLEWOrj4&pp=ygUMQ2FwaXRvbCBIaWxs,/@NBCNews,NBC News,Protester Throws Russian Flags At President Donald Trump On Capitol Hill | NBC News,20K,6 years,A protester threw what appeared to be Russian flags at President Trump as he passed through Capitol Hill with Senate Majority ...,2024-01-29 03:38:04.129699
/watch?v=1gFV3tykSeg&pp=ygUMQ2FwaXRvbCBIaWxs,/@fox5dc,FOX 5 Washington DC,Pro-Palestinian protest underway at Cannon Rotunda on Capitol Hill; USCP detains some demonstrators,14K,Streamed 3 months,A large group of pro-Palestinian protesters are demonstrating inside the Cannon Rotunda at the Capitol. READ MORE: ...,2024-01-29 03:38:04.134241
/watch?v=udYiGbXM6jc&pp=ygURQ2FsIEFuZGVyc29uIFBhcms%3D,/@LaoOcean,Lao Ocean,Seattle Coffee Talk + Morning Walk In Capitol Hill | Cal Anderson Park ☕️,2.1K,1 year,A morning g at Seattle's Capitol Hill beginning with a 12 oz coffee (Americano) at Overcast Coffee Coffee. I do a quick coffee ...,2024-01-29 03:38:19.760780
/watch?v=pHM1I7v9bF8&pp=ygURQ2FsIEFuZGVyc29uIFBhcms%3D,/@KING5Seattle,KING 5 Seattle,Black Lives Memorial Garden demolished at Cal Anderson Park in Seattle,7.7K,1 month,Seattle Parks and Recreation (SPR) removed a community garden Wednesday that became a symbol of hope during the 2020 ...,2024-01-29 03:38:19.764518
/watch?v=JGmm-fmCNyE&pp=ygURQ2FsIEFuZGVyc29uIFBhcms%3D,/@LaoOcean,Lao Ocean,Evening Walk At CAL ANDERSON PARK in Seattle's CAPITOL HILL,1.7K,3 years,"Seattle #CalAnderson #Capitol Hill How does Cal Anderson Park look today, August 11, 2020? On this date I decided to go for an ...",2024-01-29 03:38:19.772519
/watch?v=jFc_U-wnqCc&pp=ygURQ2FsIEFuZGVyc29uIFBhcms%3D,/@4KNatureandCityWalks,4K Nature and City Walks,"Cal Anderson Park and Capitol Hill Arts District Seattle, Washington 2019 | Pine St, 12th Ave",2.3K,4 years,"A virtual walking tour in 4k past the Lincoln Reservoir, Cal Anderson Reflecting Pool, Bobby Morris Playfield and through the Arts ...",2024-01-29 03:38:19.776443
/watch?v=vXwAbyKvzVM&pp=ygURQ2FsIEFuZGVyc29uIFBhcms%3D,/@TVW_Washington,TVW,My Favorite Places - Cal Anderson Park,170,5 years,"Join Ralph Munro as we visit Cal Anderson Park in Seattle and tell the story of Senator Cal Anderson, Washington State's first ...",2024-01-29 03:38:19.784445
/watch?v=0nUINyEsIww&pp=ygURQ2FsIEFuZGVyc29uIFBhcms%3D,/@fox13seattle,FOX 13 Seattle,2 dead after Cal Anderson Park shooting | FOX 13 Seattle,7.3K,8 months,"Three people were shot, two of them fatally, in Seattle's Cal Anderson Park late Saturday night. Subscribe to FOX 13 Seattle: ...",2024-01-29 03:38:19.787236
/watch?v=9i4p4ZMgjz0&pp=ygURQ2FsIEFuZGVyc29uIFBhcms%3D,/@mohaiseattle,Museum of History & Industry (MOHAI),MOHAI Minute: Cal Anderson Park,1K,12 years,The Museum of History & Industry (MOHAI) presents a series of quickies that take you on a time-traveling journey to some of ...,2024-01-29 03:38:19.792282
/watch?v=OBUiWvM1MM0&pp=ygURQ2FsIEFuZGVyc29uIFBhcms%3D,/@KING5Seattle,KING 5 Seattle,"Mom of Cal Anderson Park shooting victims speaks out, seeking justice",1.7K,8 months,Terrence and Raylando Wilford were identified by the King County Medical Examiner's Office as the two men who died after being ...,2024-01-29 03:38:19.800365
/watch?v=xEBujWH4Aes&pp=ygURQ2FsIEFuZGVyc29uIFBhcms%3D,/@KING5Seattle,KING 5 Seattle,"2 killed, 1 injured in shooting at Seattle's Cal Anderson Park",25K,8 months,Two people are dead and another person is in critical condition after they were shot at Cal Anderson Park in Seattle Saturday ...,2024-01-29 03:38:19.804120
/watch?v=WsucaqwVkhk&pp=ygURQ2FsIEFuZGVyc29uIFBhcms%3D,/@komonews,KOMO News,Judge denies Cal Anderson Park resident's suit to block city's plan to remove encampment,27K,3 years,A federal judge will not stop the city from clearing out a homeless encampment at Cal Anderson Park.That ruling comes as a ...,2024-01-29 03:38:19.808394
/watch?v=5YUJyNWb1XE&pp=ygURQ2FsIEFuZGVyc29uIFBhcms%3D,/@KING5Seattle,KING 5 Seattle,Seattle Womxn's March rally in Cal Anderson Park,746,Streamed 5 years,Speakers take the stage at Cal Anderson Park in Seattle for the third Womxn's March rally.,2024-01-29 03:38:19.816686
